DR_NO,Date Rptd,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Race,Premis Desc,Weapon Desc,LAT,LON
200304372,1/7/2020,Southwest,480,BIKE - STOLEN,46,M,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0158,-118.3524
211106022,3/1/2021,Northeast,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),36,M,W,White,SINGLE FAMILY DWELLING,,34.0871,-118.2576
210913914,9/9/2021,Van Nuys,624,BATTERY - SIMPLE ASSAULT,39,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.1817,-118.4422
211611055,8/31/2021,Foothill,210,ROBBERY,24,M,H,Hispanic,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2666,-118.4195
200405082,1/28/2020,Hollenbeck,330,BURGLARY FROM VEHICLE,33,M,H,Hispanic,PARKING LOT,,34.0689,-118.1878
210308086,3/27/2021,Southwest,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,29,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0237,-118.3047
200108349,3/3/2020,Central,624,BATTERY - SIMPLE ASSAULT,18,M,H,Hispanic,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0409,-118.2574
211810824,5/21/2021,Southeast,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",32,M,H,Hispanic,STREET,HAND GUN,33.9357,-118.2739
210612563,7/12/2021,Hollywood,901,VIOLATION OF RESTRAINING ORDER,68,F,W,White,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0963,-118.3517
200107929,2/24/2020,Central,664,"BUNCO, PETTY THEFT",19,M,H,Hispanic,SIDEWALK,,34.0491,-118.2558
211806769,2/25/2021,Southeast,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,22,F,B,Black,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9511,-118.2586
